Timestamp,Measurement,Value,Unit,Type,Blanked,Concentration
0.00,ABSORBANCE,0.13,NONE,NONE,TRUE,NONE
60.00,ABSORBANCE,0.139,NONE,NONE,TRUE,NONE
120.00,ABSORBANCE,0.141,NONE,NONE,TRUE,NONE
180.00,ABSORBANCE,0.136,NONE,NONE,TRUE,NONE
240.00,ABSORBANCE,0.135,NONE,NONE,TRUE,NONE
300.00,ABSORBANCE,0.136,NONE,NONE,TRUE,NONE
360.00,ABSORBANCE,0.136,NONE,NONE,TRUE,NONE
420.00,ABSORBANCE,0.139,NONE,NONE,TRUE,NONE
480.00,ABSORBANCE,0.139,NONE,NONE,TRUE,NONE
540.00,ABSORBANCE,0.136,NONE,NONE,TRUE,NONE
600.00,ABSORBANCE,0.138,NONE,NONE,TRUE,NONE
660.00,ABSORBANCE,0.137,NONE,NONE,TRUE,NONE
720.00,ABSORBANCE,0.138,NONE,NONE,TRUE,NONE
780.00,ABSORBANCE,0.133,NONE,NONE,TRUE,NONE
840.00,ABSORBANCE,0.139,NONE,NONE,TRUE,NONE
900.00,ABSORBANCE,0.14,NONE,NONE,TRUE,NONE
960.00,ABSORBANCE,0.14,NONE,NONE,TRUE,NONE
1020.00,ABSORBANCE,0.137,NONE,NONE,TRUE,NONE
1080.00,ABSORBANCE,0.137,NONE,NONE,TRUE,NONE
1140.00,ABSORBANCE,0.137,NONE,NONE,TRUE,NONE
1200.00,ABSORBANCE,0.135,NONE,NONE,TRUE,NONE
1260.00,ABSORBANCE,0.134,NONE,NONE,TRUE,NONE
1320.00,ABSORBANCE,0.136,NONE,NONE,TRUE,NONE
1380.00,ABSORBANCE,0.135,NONE,NONE,TRUE,NONE
1440.00,ABSORBANCE,0.136,NONE,NONE,TRUE,NONE
1500.00,ABSORBANCE,0.137,NONE,NONE,TRUE,NONE
1560.00,ABSORBANCE,0.138,NONE,NONE,TRUE,NONE
1620.00,ABSORBANCE,0.14,NONE,NONE,TRUE,NONE
1680.00,ABSORBANCE,0.138,NONE,NONE,TRUE,NONE
1740.00,ABSORBANCE,0.139,NONE,NONE,TRUE,NONE